Title,Url,Price,ISBN-10,ISBN,Author,Format,Pages,Publisher,Language
The Scandalous Gospel of Jesus (What's So Good About the Good News?),https://bulkbookstore.com/the-scandalous-gospel-of-jesus-whats-so-good-about-the-good-news-9780060000745,14.99,0060000740,b'9780060000745',Peter J. Gomes,Paperback,272.0,"HarperCollins (September 9, 2008)",English
The Good Life (Truths That Last in Times of Need),https://bulkbookstore.com/the-good-life-truths-that-last-in-times-of-need-9780060000769,15.99,0060000767,b'9780060000769',Peter J. Gomes,Paperback,384.0,"HarperCollins (April 29, 2003)",English
Strength for the Journey (Biblical Wisdom for Daily Living),https://bulkbookstore.com/strength-for-the-journey-biblical-wisdom-for-daily-living-9780060000783,14.99,0060000783,b'9780060000783',Peter J. Gomes,Paperback,320.0,"HarperCollins (May 25, 2004)",English
The Treasure of Montsegur (A Novel of the Cathars),https://bulkbookstore.com/the-treasure-of-montsegur-a-novel-of-the-cathars-9780060000806,14.99,0060000805,b'9780060000806',Sophy Burnham,Paperback,304.0,"HarperCollins (June 3, 2003)",English
A String of Hearts,https://bulkbookstore.com/a-string-of-hearts-9780060000851,16.99,0060000856,b'9780060000851',"Laura Malone Elliott, Lynn Munsinger",Hardcover,32.0,"HarperCollins (November 23, 2010)",English
Living Water,https://bulkbookstore.com/living-water-9780060000882,14.99,0060000880,b'9780060000882',Obery Hendricks,Paperback,384.0,"HarperCollins (January 6, 2004)",English
Bad Boys,https://bulkbookstore.com/bad-boys-9780060001049,7.99,0060001046,b'9780060001049',"Margie Palatini, Henry Cole",Paperback,40.0,"HarperCollins (August 22, 2006)",English
The Perfect Pet,https://bulkbookstore.com/the-perfect-pet-9780060001100,7.99,0060001100,b'9780060001100',"Margie Palatini, Bruce Whatley",Paperback,32.0,"HarperCollins (January 27, 2009)",English
3 Little Firefighters,https://bulkbookstore.com/3-little-firefighters-9780060001209,6.99,0060001208,b'9780060001209',"Stuart J. Murphy, Bernice Lum",Paperback,40.0,"HarperCollins (August 14, 2003)",English
100 Days of Cool,https://bulkbookstore.com/100-days-of-cool-9780060001230,6.99,0060001232,b'9780060001230',"Stuart J. Murphy, John Bendall-Brunello",Paperback,40.0,"HarperCollins (December 23, 2003)",English
Earth Day--Hooray!,https://bulkbookstore.com/earth-day-hooray-9780060001278,17.99,0060001275,b'9780060001278',"Stuart J. Murphy, Renée Andriani",Hardcover,40.0,"HarperCollins (January 20, 2004)",English
Leaping Lizards,https://bulkbookstore.com/leaping-lizards-9780060001322,6.99,0060001321,b'9780060001322',"Stuart J. Murphy, JoAnn Adinolfi",Paperback,40.0,"HarperCollins (August 23, 2005)",English
"Her Highness, My Wife",https://bulkbookstore.com/her-highness-my-wife-9780060001445,7.99,0060001445,b'9780060001445',Victoria Alexander,Paperback,384.0,"HarperCollins (July 30, 2002)",English
Love With the Proper Husband,https://bulkbookstore.com/love-with-the-proper-husband-9780060001452,8.99,0060001453,b'9780060001452',Victoria Alexander,Paperback,384.0,"HarperCollins (March 25, 2003)",English
"Liars, Lovers, and Heroes (What the New Brain Science Reveals About How We Become Who We Are)",https://bulkbookstore.com/liars-lovers-and-heroes-what-the-new-brain-science-reveals-about-how-we-become-who-we-are-9780060001490,15.99,0060001496,b'9780060001490',"Steven R. Quartz, Terrence J. Sejnowski",Paperback,352.0,"HarperCollins (September 23, 2003)",English
Diary of a Worm,https://bulkbookstore.com/diary-of-a-worm-9780060001506,17.99,006000150X,b'9780060001506',"Doreen Cronin, Harry Bliss",Hardcover,40.0,"HarperCollins (August 14, 2003)",English
Diary of a Spider,https://bulkbookstore.com/diary-of-a-spider-9780060001537,17.99,0060001534,b'9780060001537',"Doreen Cronin, Harry Bliss",Hardcover,40.0,"HarperCollins (July 26, 2005)",English
Diary of a Fly,https://bulkbookstore.com/diary-of-a-fly-9780060001568,16.99,0060001569,b'9780060001568',"Doreen Cronin, Harry Bliss",Hardcover,40.0,"HarperCollins (August 21, 2007)",English
Harold and the Purple Crayon: Under the Sea,https://bulkbookstore.com/harold-and-the-purple-crayon-under-the-sea-9780060001780,3.99,006000178X,b'9780060001780',Liza Baker,Paperback,32.0,"HarperCollins (September 16, 2003)",English
A Tree Grows in Brooklyn,https://bulkbookstore.com/a-tree-grows-in-brooklyn-9780060001940,26.99,0060001941,b'9780060001940',Betty Smith,Hardcover,512.0,"HarperCollins (November 13, 2001)",English
Mildred and Sam,https://bulkbookstore.com/mildred-and-sam-9780060002008,4.99,006000200X,b'9780060002008',"Sharleen Collicott, Sharleen Collicott",Paperback,48.0,"HarperCollins (February 17, 2004)",English
On a Wicked Dawn,https://bulkbookstore.com/on-a-wicked-dawn-9780060002053,7.99,0060002050,b'9780060002053',Stephanie Laurens,Paperback,448.0,"HarperCollins (April 30, 2002)",English
A Gentleman's Honor,https://bulkbookstore.com/a-gentlemans-honor-9780060002077,8.99,0060002077,b'9780060002077',Stephanie Laurens,Paperback,464.0,"HarperCollins (September 30, 2003)",English
Ignorance (A Novel),https://bulkbookstore.com/ignorance-a-novel-9780060002107,15.99,0060002107,b'9780060002107',Milan Kundera,Paperback,208.0,"HarperCollins (September 30, 2003)",English
Wallace's Lists,https://bulkbookstore.com/wallaces-lists-9780060002244,16.99,0060002247,b'9780060002244',"Barbara Bottner, Olof Landstrom, Gerald Kruglik",Hardcover,40.0,"HarperCollins (June 1, 2004)",English
Thanksgiving Day Thanks,https://bulkbookstore.com/thanksgiving-day-thanks-9780060002367,17.99,0060002360,b'9780060002367',"Laura Malone Elliott, Lynn Munsinger",Hardcover,32.0,"HarperCollins (August 27, 2013)",English
A Book of Hugs,https://bulkbookstore.com/a-book-of-hugs-9780060002732,6.99,0060002735,b'9780060002732',"Dave Ross, Laura Rader",Board Book,30.0,"HarperCollins (December 4, 2001)",English
A Book of Kisses Board Book,https://bulkbookstore.com/a-book-of-kisses-board-book-9780060002749,6.99,0060002743,b'9780060002749',"Dave Ross, Laura Rader",Board Book,16.0,"HarperCollins (December 4, 2001)",English
"Raising Blaze (A Mother and Son's Long, Strange Journey into Autism)",https://bulkbookstore.com/raising-blaze-a-mother-and-sons-long-strange-journey-into-autism-9780060004330,15.99,0060004339,b'9780060004330',Debra Ginsberg,Paperback,320.0,"HarperCollins (August 5, 2003)",English
A People's History of the American Revolution (How Common People Shaped the Fight for Independence),https://bulkbookstore.com/a-peoples-history-of-the-american-revolution-how-common-people-shaped-the-fight-for-independence-9780060004408-1,13.99,0060004401,b'9780060004408',Ray Raphael,Paperback,528.0,"HarperCollins (June 18, 2002)",English
The Death Artist,https://bulkbookstore.com/the-death-artist-9780060004422,7.5,0060004428,b'9780060004422',Jonathan Santlofer,Paperback,448.0,"HarperCollins (August 26, 2003)",English
Power Plays (Win or Lose--How History's Great Political Leaders Play the Game),https://bulkbookstore.com/power-plays-win-or-lose-how-historys-great-political-leaders-play-the-game-9780060004446,17.99,0060004444,b'9780060004446',Dick Morris,Paperback,384.0,"HarperCollins (June 17, 2003)",English
The Neal Pollack Anthology of American Literature (The Collected Writings of Neal Pollack),https://bulkbookstore.com/the-neal-pollack-anthology-of-american-literature-the-collected-writings-of-neal-pollack-9780060004538,14.99,0060004533,b'9780060004538',Neal Pollack,Paperback,240.0,"HarperCollins (March 5, 2002)",English
"Inside Mouse, Outside Mouse",https://bulkbookstore.com/inside-mouse-outside-mouse-9780060004668,17.99,0060004665,b'9780060004668',"Lindsay Barrett George, Lindsay Barrett George",Hardcover,40.0,"HarperCollins (March 30, 2004)",English
Engaged to Die (A Death on Demand Mystery),https://bulkbookstore.com/engaged-to-die-a-death-on-demand-mystery-9780060004705,7.99,0060004703,b'9780060004705',Carolyn Hart,Paperback,352.0,"HarperCollins (January 27, 2004)",English
Murder Walks the Plank (A Death on Demand Mystery),https://bulkbookstore.com/murder-walks-the-plank-a-death-on-demand-mystery-9780060004750,6.99,0060004754,b'9780060004750',Carolyn Hart,Paperback,336.0,"HarperCollins (March 1, 2005)",English
Death of the Party,https://bulkbookstore.com/death-of-the-party-9780060004774,7.99,0060004770,b'9780060004774',Carolyn Hart,Paperback,352.0,"HarperCollins (February 28, 2006)",English
Mrs. McNosh Hangs Up Her Wash,https://bulkbookstore.com/mrs-mcnosh-hangs-up-her-wash-9780060004798,7.99,0060004797,b'9780060004798',"Sarah Weeks, Nadine Bernard Westcott",Paperback,24.0,"HarperCollins (May 7, 2002)",English
Fanny: A Fiction,https://bulkbookstore.com/fanny-a-fiction-9780060004859,13.95,0060004851,b'9780060004859',Edmund White,Paperback,400.0,"HarperCollins (October 26, 2004)",English
World Gone By (A Novel),https://bulkbookstore.com/world-gone-by-a-novel-9780060004903,27.99,0060004908,b'9780060004903',Dennis Lehane,Hardcover,320.0,"HarperCollins (March 10, 2015)",English
Minnie and Moo: The Night of the Living Bed,https://bulkbookstore.com/minnie-and-moo-the-night-of-the-living-bed-9780060005054,4.99,006000505X,b'9780060005054',"Denys Cazet, Denys Cazet",Paperback,48.0,"HarperCollins (September 7, 2004)",English
The Day the Dinosaurs Died,https://bulkbookstore.com/the-day-the-dinosaurs-died-9780060005306-1,4.99,0060005300,b'9780060005306',"Charlotte Lewis Brown, Phil Wilson",Paperback,48.0,"HarperCollins (June 12, 2007)",English
"One Lighthouse, One Moon",https://bulkbookstore.com/one-lighthouse-one-moon-9780060005375,7.99,0060005378,b'9780060005375',"Anita Lobel, Anita Lobel",Paperback,48.0,"HarperCollins (April 16, 2002)",English
Harold and the Purple Crayon: Dinosaur Days,https://bulkbookstore.com/harold-and-the-purple-crayon-dinosaur-days-9780060005412,14.99,0060005416,b'9780060005412',Liza Baker,Paperback,40.0,"HarperCollins (December 17, 2002)",English
Lirael (Daughter of the Clayr),https://bulkbookstore.com/lirael-daughter-of-the-clayr-9780060005429,8.99,0060005424,b'9780060005429',Garth Nix,Paperback,720.0,"HarperCollins (April 30, 2002)",English
Six Wives (The Queens of Henry VIII),https://bulkbookstore.com/six-wives-the-queens-of-henry-viii-9780060005504,16.99,0060005505,b'9780060005504',David Starkey,Paperback,880.0,"HarperCollins (May 4, 2004)",English
Agnes's Final Afternoon (An Essay on the Work of Milan Kundera),https://bulkbookstore.com/agness-final-afternoon-an-essay-on-the-work-of-milan-kundera-9780060005658,14.99,0060005653,b'9780060005658',Francois Ricard,Paperback,224.0,"HarperCollins (September 28, 2004)",English
When I Was Cool (My Life at the Jack Kerouac School),https://bulkbookstore.com/when-i-was-cool-my-life-at-the-jack-kerouac-school-9780060005672,15.99,006000567X,b'9780060005672',Sam Kashner,Paperback,368.0,"HarperCollins (February 1, 2005)",English
The Brewmaster's Table (Discovering the Pleasures of Real Beer with Real Food),https://bulkbookstore.com/the-brewmasters-table-discovering-the-pleasures-of-real-beer-with-real-food-9780060005719,19.99,0060005718,b'9780060005719',Garrett Oliver,Paperback,384.0,"HarperCollins (May 3, 2005)",English
"Play Poker Like the Pros (The greatest poker player in the world today reveals his million-dollar-winning strategies to the most popular tournament, home and online games)",https://bulkbookstore.com/play-poker-like-the-pros-the-greatest-poker-player-in-the-world-today-reveals-his-million-dollar-winning-strategies-to-the-most-popular-tournament-home-and-online-games-9780060005726,17.99,0060005726,b'9780060005726',Phil Hellmuth,Paperback,416.0,"HarperCollins (May 6, 2003)",English
The Story of the Trapp Family Singers,https://bulkbookstore.com/the-story-of-the-trapp-family-singers-9780060005771,16.99,0060005777,b'9780060005771',Maria Augusta Trapp,Paperback,320.0,"HarperCollins (December 24, 2001)",English
"Ridin' High, Livin' Free (Hell-Raising Motorcycle Stories)",https://bulkbookstore.com/ridin-high-livin-free-hell-raising-motorcycle-stories-9780060006037-1,16.99,006000603X,b'9780060006037',Sonny Barger,Paperback,304.0,"HarperCollins (April 29, 2003)",English
How to Talk to Your Cat,https://bulkbookstore.com/how-to-talk-to-your-cat-9780060006228,7.99,0060006226,b'9780060006228',"Jean Craighead George, Paul Meisel",Paperback,40.0,"HarperCollins (February 4, 2003)",English
How to Talk to Your Dog,https://bulkbookstore.com/how-to-talk-to-your-dog-9780060006235,7.99,0060006234,b'9780060006235',"Jean Craighead George, Sue Truesdell",Paperback,40.0,"HarperCollins (February 4, 2003)",English
A Thousand Pieces of Gold (Growing Up Through China's Proverbs),https://bulkbookstore.com/a-thousand-pieces-of-gold-growing-up-through-chinas-proverbs-9780060006419-1,13.99,0060006412,b'9780060006419',Adeline Yen Mah,Paperback,272.0,"HarperCollins (September 16, 2003)",English
A Perfect Bride,https://bulkbookstore.com/a-perfect-bride-9780060006617,7.99,0060006617,b'9780060006617',Samantha James,Paperback,384.0,"HarperCollins (July 27, 2004)",English
A Perfect Hero,https://bulkbookstore.com/a-perfect-hero-9780060006631,7.99,0060006633,b'9780060006631',Samantha James,Paperback,384.0,"HarperCollins (June 28, 2005)",English
The Italian American Reader,https://bulkbookstore.com/the-italian-american-reader-9780060006679,16.99,0060006676,b'9780060006679',Bill Tonelli,Paperback,576.0,"HarperCollins (January 25, 2005)",English
"Dresden (Tuesday, February 13, 1945)",https://bulkbookstore.com/dresden-tuesday-february-13-1945-9780060006778,18.99,0060006773,b'9780060006778',Frederick Taylor,Paperback,560.0,"HarperCollins (January 18, 2005)",English
The Agile Gene (How Nature Turns on Nurture),https://bulkbookstore.com/the-agile-gene-how-nature-turns-on-nurture-9780060006792,17.99,006000679X,b'9780060006792',Matt Ridley,Paperback,352.0,"HarperCollins (July 6, 2004)",English
"Summerhouse, Later (Stories)",https://bulkbookstore.com/summerhouse-later-stories-9780060006877,15.99,0060006870,b'9780060006877',Judith Hermann,Paperback,224.0,"HarperCollins (April 1, 2003)",English
Dirty Havana Trilogy (A Novel in Stories),https://bulkbookstore.com/dirty-havana-trilogy-a-novel-in-stories-9780060006891,16.99,0060006897,b'9780060006891',Pedro Juan Gutierrez,Paperback,400.0,"HarperCollins (February 5, 2002)",English
"The Last Alchemist (Count Cagliostro, Master of Magic in the Age of Reason)",https://bulkbookstore.com/the-last-alchemist-count-cagliostro-master-of-magic-in-the-age-of-reason-9780060006914,14.99,0060006919,b'9780060006914',Iain McCalman,Paperback,288.0,"HarperCollins (April 13, 2004)",English
"A Fine, Fine School",https://bulkbookstore.com/a-fine-fine-school-9780060007287,7.99,0060007281,b'9780060007287',"Sharon Creech, Harry Bliss",Paperback,32.0,"HarperCollins (December 23, 2003)",English
A Walk in the Rain with a Brain,https://bulkbookstore.com/a-walk-in-the-rain-with-a-brain-9780060007317,16.95,0060007311,b'9780060007317',Edward Hallowell,Hardcover,32.0,"HarperCollins (September 28, 2004)",English
Writings on an Ethical Life,https://bulkbookstore.com/writings-on-an-ethical-life-9780060007447,16.99,0060007443,b'9780060007447',Peter Singer,Paperback,384.0,"HarperCollins (September 18, 2001)",English
The Torturer's Apprentice (Stories),https://bulkbookstore.com/the-torturers-apprentice-stories-9780060007454,12.99,0060007451,b'9780060007454',John Biguenet,Paperback,192.0,"HarperCollins (February 19, 2002)",English
"In Sunlight, in a Beautiful Garden (A Novel)",https://bulkbookstore.com/in-sunlight-in-a-beautiful-garden-a-novel-9780060007577,15.99,0060007575,b'9780060007577',Kathleen Cambor,Paperback,272.0,"HarperCollins (March 5, 2002)",English
The Friendly Four,https://bulkbookstore.com/the-friendly-four-9780060007591,17.99,0060007591,b'9780060007591',"Eloise Greenfield, Jan Spivey Gilchrist",Hardcover,48.0,"HarperCollins (June 13, 2006)",English
Surviving Hitler (A Boy in the Nazi Death Camps),https://bulkbookstore.com/surviving-hitler-a-boy-in-the-nazi-death-camps-9780060007676,7.99,0060007672,b'9780060007676',Andrea Warren,Paperback,160.0,"HarperCollins (September 17, 2002)",English
"Easy to Love, Difficult to Discipline (The 7 Basic Skills for Turning Conflict into Cooperation)",https://bulkbookstore.com/easy-to-love-difficult-to-discipline-the-7-basic-skills-for-turning-conflict-into-cooperation-9780060007751,16.99,0060007753,b'9780060007751',Becky A. Bailey,Paperback,304.0,"HarperCollins (December 24, 2001)",English
Finding Fish (A Memoir),https://bulkbookstore.com/finding-fish-a-memoir-9780060007782,16.99,0060007788,b'9780060007782',"Antwone Q. Fisher, Mim E. Rivas",Paperback,352.0,"HarperCollins (December 18, 2001)",English
The Blackbirder (Book Two of the Brethren of the Coast),https://bulkbookstore.com/the-blackbirder-book-two-of-the-brethren-of-the-coast-9780060007799,15.99,0060007796,b'9780060007799',James L. Nelson,Paperback,352.0,"HarperCollins (March 19, 2002)",English
Unholy Ghost (Writers on Depression),https://bulkbookstore.com/unholy-ghost-writers-on-depression-9780060007829,14.99,0060007826,b'9780060007829',Nell Casey,Paperback,320.0,"HarperCollins (January 8, 2002)",English
Ruby Ridge (The Truth and Tragedy of the Randy Weaver Family),https://bulkbookstore.com/ruby-ridge-the-truth-and-tragedy-of-the-randy-weaver-family-9780060007942,16.99,006000794X,b'9780060007942',Jess Walter,Paperback,416.0,"HarperCollins (February 19, 2002)",English
For Parents and Teenagers (Dissolving the Barrier Between You and Your Teen),https://bulkbookstore.com/for-parents-and-teenagers-dissolving-the-barrier-between-you-and-your-teen-9780060007997,13.99,0060007990,b'9780060007997',William Glasser,Paperback,208.0,"HarperCollins (July 8, 2003)",English
Beyond Genetics (The User's Guide to DNA),https://bulkbookstore.com/beyond-genetics-the-users-guide-to-dna-9780060008017,13.95,0060008016,b'9780060008017',Glenn McGee,Paperback,240.0,"HarperCollins (November 9, 2004)",English
Judgment Ridge (The True Story Behind the Dartmouth Murders),https://bulkbookstore.com/judgment-ridge-the-true-story-behind-the-dartmouth-murders-9780060008451,14.99,0060008458,b'9780060008451',"Dick Lehr, Mitchell Zuckoff",Paperback,448.0,"HarperCollins (August 31, 2004)",English
The Earth Dragon Awakes (The San Francisco Earthquake of 1906),https://bulkbookstore.com/the-earth-dragon-awakes-the-san-francisco-earthquake-of-1906-9780060008468,7.99,0060008466,b'9780060008468',Laurence Yep,Paperback,128.0,"HarperCollins (March 25, 2008)",English
Death in Dublin (A Peter McGarr Mystery),https://bulkbookstore.com/death-in-dublin-a-peter-mcgarr-mystery-9780060008505,6.99,0060008504,b'9780060008505',Bartholomew Gill,Paperback,368.0,"HarperCollins (November 25, 2003)",English
Democracy in America: Abridged Edition,https://bulkbookstore.com/democracy-in-america-abridged-edition-9780060008734,16.99,0060008733,b'9780060008734',Alexis de Tocqueville,Paperback,464.0,"HarperCollins (June 12, 2007)",English
The Difference Between God and Larry Ellison (*God Doesn't Think He's Larry Ellison),https://bulkbookstore.com/the-difference-between-god-and-larry-ellison-god-doesnt-think-hes-larry-ellison-9780060008765,16.99,0060008768,b'9780060008765',Mike Wilson,Paperback,420.0,"HarperCollins (November 11, 2003)",English
Dot.con (How America Lost Its Mind and Money in the Internet Era),https://bulkbookstore.com/dot-con-how-america-lost-its-mind-and-money-in-the-internet-era-9780060008819,17.99,0060008814,b'9780060008819',John Cassidy,Paperback,416.0,"HarperCollins (May 13, 2003)",English
Power of 10 (The Once-A-Week Slow Motion Fitness Revolution),https://bulkbookstore.com/power-of-10-the-once-a-week-slow-motion-fitness-revolution-9780060008895,16.99,006000889X,b'9780060008895',Adam Zickerman,Paperback,224.0,"HarperCollins (December 23, 2003)",English
Until Death Do Us Part (My Struggle to Reclaim Colombia),https://bulkbookstore.com/until-death-do-us-part-my-struggle-to-reclaim-colombia-9780060008918,15.99,0060008911,b'9780060008918',Ingrid Betancourt,Paperback,256.0,"HarperCollins (August 19, 2008)",English
"Meet the Beatles (A Cultural History of the Band That Shook Youth, Gender, and the World)",https://bulkbookstore.com/meet-the-beatles-a-cultural-history-of-the-band-that-shook-youth-gender-and-the-world-9780060008932,14.99,0060008938,b'9780060008932',Steven D. Stark,Paperback,368.0,"HarperCollins (May 30, 2006)",English
Dharma Punx,https://bulkbookstore.com/dharma-punx-9780060008956,16.99,0060008954,b'9780060008956',Noah Levine,Paperback,272.0,"HarperCollins (May 4, 2004)",English
Mary Ingalls on Her Own,https://bulkbookstore.com/mary-ingalls-on-her-own-9780060009052,16.99,0060009055,b'9780060009052',Elizabeth Cody Kimmel,Hardcover,192.0,"HarperCollins (December 26, 2007)",English
See Jane Score,https://bulkbookstore.com/see-jane-score-9780060009243,8.99,0060009241,b'9780060009243',Rachel Gibson,Paperback,384.0,"HarperCollins (January 28, 2003)",English
Daisy's Back in Town,https://bulkbookstore.com/daisys-back-in-town-9780060009250,7.99,006000925X,b'9780060009250',Rachel Gibson,Paperback,384.0,"HarperCollins (January 27, 2004)",English
"How Can I Forgive You? (The Courage to Forgive, the Freedom Not To)",https://bulkbookstore.com/how-can-i-forgive-you-the-courage-to-forgive-the-freedom-not-to-9780060009311,16.99,0060009314,b'9780060009311',Janis A. Spring,Paperback,272.0,"HarperCollins (February 1, 2005)",English
Depression Fallout (The Impact of Depression on Couples and What You Can Do to Preserve the Bond),https://bulkbookstore.com/depression-fallout-the-impact-of-depression-on-couples-and-what-you-can-do-to-preserve-the-bond-9780060009342,15.99,0060009349,b'9780060009342',Anne Sheffield,Paperback,304.0,"HarperCollins (April 1, 2003)",English
Cooking the RealAge (R) Way (Turn back your biological clock with more than 80 delicious and easy recipes),https://bulkbookstore.com/cooking-the-realage-r-way-turn-back-your-biological-clock-with-more-than-80-delicious-and-easy-recipes-9780060009366,14.95,0060009365,b'9780060009366',"Michael F. Roizen, John La Puma",Paperback,384.0,"HarperCollins (August 29, 2006)",English
"The RealAge(R) Workout (Maximum Health, Minimum Work)",https://bulkbookstore.com/the-realage-r-workout-maximum-health-minimum-work-9780060009380,17.99,0060009381,b'9780060009380',"Michael F. Roizen, Tracy Hafen",Paperback,240.0,"HarperCollins (December 26, 2007)",English
No Lifeguard on Duty (The Accidental Life of the World's First Supermodel),https://bulkbookstore.com/no-lifeguard-on-duty-the-accidental-life-of-the-worlds-first-supermodel-9780060009472,14.99,0060009470,b'9780060009472',Janice Dickinson,Paperback,320.0,"HarperCollins (November 10, 2009)",English
The Blitzkrieg Myth (How Hitler and the Allies Misread the Strategic Realities of World War II),https://bulkbookstore.com/the-blitzkrieg-myth-how-hitler-and-the-allies-misread-the-strategic-realities-of-world-war-ii-9780060009779,17.99,0060009772,b'9780060009779',John Mosier,Paperback,352.0,"HarperCollins (November 30, 2004)",English
General Patton (A Soldier's Life),https://bulkbookstore.com/general-patton-a-soldiers-life-9780060009830-1,21.99,0060009837,b'9780060009830',Stanley Hirshson,Paperback,864.0,"HarperCollins (August 5, 2003)",English
His Brother's Keeper (One Family's Journey to the Edge of Medicine),https://bulkbookstore.com/his-brothers-keeper-one-familys-journey-to-the-edge-of-medicine-9780060010089,14.99,0060010088,b'9780060010089',Jonathan Weiner,Paperback,384.0,"HarperCollins (June 14, 2005)",English
Owen's Marshmallow Chick,https://bulkbookstore.com/owens-marshmallow-chick-9780060010126,7.99,0060010126,b'9780060010126',"Kevin Henkes, Kevin Henkes",Board Book,24.0,"HarperCollins (January 22, 2002)",English
"Yogilates(R) (Integrating Yoga and Pilates for Complete Fitness, Strength, and Flexibility)",https://bulkbookstore.com/yogilates-r-integrating-yoga-and-pilates-for-complete-fitness-strength-and-flexibility-9780060010270,19.95,0060010274,b'9780060010270',Jonathan Urla,Paperback,208.0,"HarperCollins (December 23, 2003)",English
"Happy Birthday to You, You Belong in a Zoo",https://bulkbookstore.com/happy-birthday-to-you-you-belong-in-a-zoo-9780060010294,7.99,0060010290,b'9780060010294',"Diane deGroat, Diane deGroat",Paperback,32.0,"HarperCollins (January 23, 2007)",English
Miss Lady Bird's Wildflowers (How a First Lady Changed America),https://bulkbookstore.com/miss-lady-birds-wildflowers-how-a-first-lady-changed-america-9780060011079,17.99,0060011076,b'9780060011079',"Kathi Appelt, Joy Fisher Hein",Hardcover,40.0,"HarperCollins (February 15, 2005)",English
"\xc2\xbfEl canguro tiene mam\xc3\xa1? (Does a Kangaroo Have a Mother, Too? (Spanish edition))",https://bulkbookstore.com/does-a-kangaroo-have-a-mother-too-spanish-edition-el-canguro-tiene-mama-9780060011109,17.99,0060011106,b'9780060011109',"Eric Carle, Eric Carle",Hardcover,32.0,"HarperCollins (March 26, 2002)",Spanish
The Mexicans (A Personal Portrait of a People),https://bulkbookstore.com/the-mexicans-a-personal-portrait-of-a-people-9780060011307,15.99,0060011300,b'9780060011307',Patrick Oster,Paperback,352.0,"HarperCollins (March 5, 2002)",English
The Harlem Hellfighters (When Pride Met Courage),https://bulkbookstore.com/the-harlem-hellfighters-when-pride-met-courage-9780060011383,9.99,0060011386,b'9780060011383',"Walter Dean Myers, Bill Miles",Paperback,160.0,"HarperCollins (July 22, 2014)",English
The Essential Lewis and Clark,https://bulkbookstore.com/the-essential-lewis-and-clark-9780060011598,15.99,0060011599,b'9780060011598',Landon Y. Jones,Paperback,224.0,"HarperCollins (March 19, 2002)",English
Robert Young Pelton's The World's Most Dangerous Places (5th Edition),https://bulkbookstore.com/robert-young-peltons-the-worlds-most-dangerous-places-5th-edition-9780060011604-1,25.99,0060011602,b'9780060011604',Robert Young Pelton,Paperback,1088.0,"HarperCollins (April 1, 2003)",English
The Parables of Peanuts,https://bulkbookstore.com/the-parables-of-peanuts-9780060011611,14.99,0060011610,b'9780060011611',Robert L. Short,Paperback,336.0,"HarperCollins (February 19, 2002)",English
"Republica de East LA, La (Cuentos)",https://bulkbookstore.com/republica-de-east-la-la-cuentos-9780060011628,12.99,0060011629,b'9780060011628',Luis J. Rodriguez,Paperback,272.0,"HarperCollins (March 4, 2003)",Spanish
Small Town,https://bulkbookstore.com/small-town-9780060011918,7.99,0060011912,b'9780060011918',Lawrence Block,Paperback,576.0,"HarperCollins (October 28, 2003)",English
"Annie, Between the States",https://bulkbookstore.com/annie-between-the-states-9780060012137,10.99,0060012137,b'9780060012137',L. M. Elliott,Paperback,544.0,"HarperCollins (January 3, 2006)",English
Geography Club,https://bulkbookstore.com/geography-club-9780060012236,9.99,0060012234,b'9780060012236',Brent Hartinger,Paperback,240.0,"HarperCollins (February 17, 2004)",English
"The Violin Maker (A Search for the Secrets of Craftsmanship, Sound, and Stradivari)",https://bulkbookstore.com/the-violin-maker-a-search-for-the-secrets-of-craftsmanship-sound-and-stradivari-9780060012687,15.99,0060012684,b'9780060012687',John Marchese,Paperback,256.0,"HarperCollins (April 1, 2008)",English
Waxworks (Poems),https://bulkbookstore.com/waxworks-poems-9780060012694,22.95,0060012692,b'9780060012694',Frieda Hughes,Hardcover,112.0,"HarperCollins (February 4, 2003)",English
Parts Unknown (A Novel),https://bulkbookstore.com/parts-unknown-a-novel-9780060012779,14.99,0060012773,b'9780060012779',Kevin Brennan,Paperback,320.0,"HarperCollins (January 6, 2004)",English
A Cook's Tour (Global Adventures in Extreme Cuisines),https://bulkbookstore.com/a-cooks-tour-global-adventures-in-extreme-cuisines-9780060012786,16.99,0060012781,b'9780060012786',Anthony Bourdain,Paperback,288.0,"HarperCollins (November 5, 2002)",English
The Face in the Mirror (How We Know Who We Are),https://bulkbookstore.com/the-face-in-the-mirror-how-we-know-who-we-are-9780060012809,16.99,0060012803,b'9780060012809',"Julian Keenan, Gordon G. Gallup, Dean Falk",Paperback,304.0,"HarperCollins (July 6, 2004)",English
Patrick (Son of Ireland),https://bulkbookstore.com/patrick-son-of-ireland-9780060012823,8.99,006001282X,b'9780060012823',Stephen R. Lawhead,Paperback,592.0,"HarperCollins (January 27, 2004)",English
Let Us Eat Cake (Adventures in Food and Friendship),https://bulkbookstore.com/let-us-eat-cake-adventures-in-food-and-friendship-9780060012847,16.99,0060012846,b'9780060012847',Sharon Boorstin,Paperback,336.0,"HarperCollins (June 17, 2003)",English
Monstrous Regiment,https://bulkbookstore.com/monstrous-regiment-9780060013165,7.99,0060013168,b'9780060013165',Terry Pratchett,Paperback,416.0,"HarperCollins (August 31, 2004)",English
